iter	Logloss
0	0.6723205438
1	0.6549076099
2	0.6391338917
3	0.6271971358
4	0.614160259
5	0.6026978931
6	0.5934225558
7	0.5827474754
8	0.5769297834
9	0.5686752993
10	0.5615108567
11	0.554413898
12	0.5477456482
13	0.5434239277
14	0.5373245439
15	0.5322282938
16	0.5280813132
17	0.5242299474
18	0.5213433151
19	0.5175106314
20	0.5141563277
21	0.5105270087
22	0.5076012245
23	0.504190853
24	0.5014226245
25	0.4984599806
26	0.4955753399
27	0.4927231917
28	0.4902616333
29	0.488167957
30	0.4858102249
31	0.4841866872
32	0.4836395017
33	0.4819601559
34	0.4814465291
35	0.4804920332
36	0.4788967095
37	0.4771865627
38	0.4762073353
39	0.4753233752
40	0.4740443887
41	0.4725310818
42	0.4719316224
43	0.4716935156
44	0.4706043165
45	0.4694019001
46	0.4685481005
47	0.4672997815
48	0.4664023374
49	0.4656159073
50	0.4653694774
51	0.4649963965
52	0.4638268532
53	0.4633325992
54	0.4625526836
55	0.4617625123
56	0.4615859048
57	0.4608138386
58	0.4598693028
59	0.459096075
60	0.4587288154
61	0.4581266344
62	0.4577017546
63	0.4575367238
64	0.4570685479
65	0.4559944121
66	0.455059804
67	0.4549847485
68	0.4540328296
69	0.4533040123
70	0.4531309019
71	0.4524823339
72	0.4516023363
73	0.4513698683
74	0.4509890636
75	0.4509297724
76	0.4502949244
77	0.4494664355
78	0.4487123029
79	0.4483950296
80	0.447970896
81	0.44761237
82	0.4475590316
83	0.4475236646
84	0.447378011
85	0.4472887025
86	0.4472881709
87	0.4472245034
88	0.4472235197
89	0.4463974932
90	0.4457155152
91	0.4456018805
92	0.4455209194
93	0.4454840857
94	0.4450171748
95	0.444915807
96	0.4445154378
97	0.4444472883
98	0.444308008
99	0.4440427355
100	0.4435877359
101	0.443164524
102	0.4431472041
103	0.4431469663
104	0.4431206962
105	0.4430143116
106	0.4426442713
107	0.4420987856
108	0.4417523431
109	0.4410040818
110	0.4406310534
111	0.4406180105
112	0.4401623013
113	0.4394077846
114	0.4386463817
115	0.4383556074
116	0.4383509813
117	0.4379282088
118	0.4378730186
119	0.4373998508
120	0.437397686
121	0.4371565945
122	0.4371025646
123	0.4363504742
124	0.4361813213
125	0.4357741931
126	0.4353250084
127	0.4344780211
128	0.4338640708
129	0.4337668956
130	0.4335582321
131	0.4335571094
132	0.4326782987
133	0.4320670454
134	0.4318860502
135	0.4310891684
136	0.4310232219
137	0.4308395319
138	0.4302116414
139	0.4299275069
140	0.4296544178
141	0.4292398159
142	0.4289325468
143	0.4285776844
144	0.4279386205
145	0.427501361
146	0.4270596654
147	0.4267607912
148	0.4263380695
149	0.4259437294
