iter	Passed	Remaining
0	147	22051
1	214	15836
2	247	12147
3	265	9693
4	306	8899
5	339	8139
6	364	7436
7	584	10370
8	602	9432
9	646	9044
10	684	8645
11	726	8349
12	871	9179
13	904	8790
14	960	8643
15	1005	8420
16	1033	8083
17	1078	7911
18	1234	8511
19	1287	8370
20	1337	8216
21	1381	8037
22	1410	7788
23	1449	7609
24	1492	7461
25	1572	7500
26	1615	7360
27	1653	7202
28	1689	7050
29	1718	6875
30	1747	6709
31	1772	6537
32	1784	6325
33	1903	6495
34	1929	6338
35	1975	6255
36	2026	6187
37	2055	6058
38	2070	5892
39	2088	5743
40	2117	5628
41	2167	5574
42	2258	5618
43	2275	5482
44	2323	5421
45	2368	5354
46	2403	5267
47	2433	5171
48	2461	5073
49	2492	4984
50	2506	4864
51	2522	4753
52	2646	4844
53	2697	4795
54	2732	4719
55	2764	4640
56	2775	4528
57	2806	4452
58	2833	4370
59	2862	4294
60	2889	4215
61	3015	4280
62	3069	4238
63	3082	4142
64	3124	4085
65	3154	4014
66	3181	3941
67	3191	3848
68	3222	3783
69	3251	3715
70	3259	3626
71	3300	3575
72	3479	3670
73	3499	3594
74	3533	3533
75	3543	3450
76	3573	3387
77	3605	3328
78	3654	3284
79	3740	3272
80	3814	3249
81	3862	3202
82	3874	3127
83	3884	3052
84	3904	2986
85	3917	2915
86	3926	2843
87	3943	2778
88	3956	2711
89	4057	2704
90	4153	2693
91	4169	2628
92	4200	2574
93	4229	2519
94	4264	2469
95	4274	2404
96	4305	2352
97	4318	2291
98	4339	2235
99	4375	2187
100	4443	2155
101	4486	2111
102	4499	2053
103	4504	1992
104	4515	1935
105	4529	1879
106	4557	1831
107	4588	1784
108	4787	1800
109	4835	1758
110	4868	1710
111	4875	1654
112	4903	1605
113	4930	1556
114	4976	1514
115	5033	1475
116	5063	1428
117	5105	1384
118	5115	1332
119	5145	1286
120	5158	1236
121	5185	1190
122	5198	1141
123	5226	1095
124	5262	1052
125	5308	1011
126	5356	970
127	5395	927
128	5444	886
129	5491	844
130	5531	802
131	5545	756
132	5583	713
133	5627	671
134	5675	630
135	5713	588
136	5744	545
137	5783	502
138	5819	460
139	5855	418
140	5899	376
141	5943	334
142	6110	299
143	6192	258
144	6231	214
145	6263	171
146	6292	128
147	6322	85
148	6357	42
149	6413	0
